SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
45,DC:A6:32:33:B0:DA,2020-07-11 20:31:38.014707,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-97
46,DC:A6:32:33:B0:DA,2020-07-11 20:31:40.235854,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-96
47,DC:A6:32:33:B0:DA,2020-07-11 20:31:41.077154,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-102
48,DC:A6:32:33:B0:DA,2020-07-11 20:31:42.339659,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-94
49,DC:A6:32:33:B0:DA,2020-07-11 20:31:43.076516,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-100
50,DC:A6:32:33:B0:DA,2020-07-11 20:31:44.113410,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-87
51,DC:A6:32:33:B0:DA,2020-07-11 20:31:45.275952,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-97
52,DC:A6:32:33:B0:DA,2020-07-11 20:31:46.144671,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-79
53,DC:A6:32:33:B0:DA,2020-07-11 20:31:47.037140,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-84
54,DC:A6:32:33:B0:DA,2020-07-11 20:31:48.195896,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-81
55,DC:A6:32:33:B0:DA,2020-07-11 20:31:49.244696,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-73
56,DC:A6:32:33:B0:DA,2020-07-11 20:31:50.287208,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-85
57,DC:A6:32:33:B0:DA,2020-07-11 20:31:51.037178,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-74
58,DC:A6:32:33:B0:DA,2020-07-11 20:31:52.012151,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-73
59,DC:A6:32:33:B0:DA,2020-07-11 20:31:53.017191,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-78
60,DC:A6:32:33:B0:DA,2020-07-11 20:31:54.032194,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-76
61,DC:A6:32:33:B0:DA,2020-07-11 20:31:55.075990,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-71
62,DC:A6:32:33:B0:DA,2020-07-11 20:31:56.007805,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-66
63,DC:A6:32:33:B0:DA,2020-07-11 20:31:57.084736,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-76
64,DC:A6:32:33:B0:DA,2020-07-11 20:31:58.090935,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-75
65,DC:A6:32:33:B0:DA,2020-07-11 20:31:59.010251,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-62
66,DC:A6:32:33:B0:DA,2020-07-11 20:32:00.144675,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-62
67,DC:A6:32:33:B0:DA,2020-07-11 20:32:01.247085,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-62
68,DC:A6:32:33:B0:DA,2020-07-11 20:32:02.022074,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-52
69,DC:A6:32:33:B0:DA,2020-07-11 20:32:03.014622,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-54
70,DC:A6:32:33:B0:DA,2020-07-11 20:32:04.012052,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-56
71,DC:A6:32:33:B0:DA,2020-07-11 20:32:05.058412,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-61
72,DC:A6:32:33:B0:DA,2020-07-11 20:32:06.062104,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-63
73,DC:A6:32:33:B0:DA,2020-07-11 20:32:07.158284,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-54
74,DC:A6:32:33:B0:DA,2020-07-11 20:32:08.045411,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-59
75,DC:A6:32:33:B0:DA,2020-07-11 20:32:09.175911,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-52
76,DC:A6:32:33:B0:DA,2020-07-11 20:32:10.005835,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-75
77,DC:A6:32:33:B0:DA,2020-07-11 20:32:11.008963,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-63
78,DC:A6:32:33:B0:DA,2020-07-11 20:32:12.087065,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-58
79,DC:A6:32:33:B0:DA,2020-07-11 20:32:13.030858,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-60
80,DC:A6:32:33:B0:DA,2020-07-11 20:32:14.037137,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-54
81,DC:A6:32:33:B0:DA,2020-07-11 20:32:15.020854,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-50
82,DC:A6:32:33:B0:DA,2020-07-11 20:32:16.055192,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-57
83,DC:A6:32:33:B0:DA,2020-07-11 20:32:17.075875,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-64
84,DC:A6:32:33:B0:DA,2020-07-11 20:32:18.093345,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-59
85,DC:A6:32:33:B0:DA,2020-07-11 20:32:19.051547,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-60
86,DC:A6:32:33:B0:DA,2020-07-11 20:32:20.035909,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-69
87,DC:A6:32:33:B0:DA,2020-07-11 20:32:21.442156,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-63
88,DC:A6:32:33:B0:DA,2020-07-11 20:32:22.093524,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-53
89,DC:A6:32:33:B0:DA,2020-07-11 20:32:23.017263,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-61
90,DC:A6:32:33:B0:DA,2020-07-11 20:32:24.030986,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-58
91,DC:A6:32:33:B0:DA,2020-07-11 20:32:25.018594,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-56
92,DC:A6:32:33:B0:DA,2020-07-11 20:32:26.147279,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-67
93,DC:A6:32:33:B0:DA,2020-07-11 20:32:27.117467,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-68
94,DC:A6:32:33:B0:DA,2020-07-11 20:32:28.046024,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-58
95,DC:A6:32:33:B0:DA,2020-07-11 20:32:29.064727,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-56
96,DC:A6:32:33:B0:DA,2020-07-11 20:32:30.068617,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-68
97,DC:A6:32:33:B0:DA,2020-07-11 20:32:31.141132,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-57
98,DC:A6:32:33:B0:DA,2020-07-11 20:32:32.005993,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-65
99,DC:A6:32:33:B0:DA,2020-07-11 20:32:33.002252,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-65
100,DC:A6:32:33:B0:DA,2020-07-11 20:32:34.100987,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-58
101,DC:A6:32:33:B0:DA,2020-07-11 20:32:35.021097,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-68
102,DC:A6:32:33:B0:DA,2020-07-11 20:32:36.087880,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-65
103,DC:A6:32:33:B0:DA,2020-07-11 20:32:37.047340,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-61
104,DC:A6:32:33:B0:DA,2020-07-11 20:32:38.124913,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-66
105,DC:A6:32:33:B0:DA,2020-07-11 20:32:39.086050,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-69
106,DC:A6:32:33:B0:DA,2020-07-11 20:32:40.036044,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-74
107,DC:A6:32:33:B0:DA,2020-07-11 20:32:41.043532,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-65
108,DC:A6:32:33:B0:DA,2020-07-11 20:32:42.022285,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-53
109,DC:A6:32:33:B0:DA,2020-07-11 20:32:43.033679,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-67
110,DC:A6:32:33:B0:DA,2020-07-11 20:32:44.017960,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-50
111,DC:A6:32:33:B0:DA,2020-07-11 20:32:45.328097,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-55
112,DC:A6:32:33:B0:DA,2020-07-11 20:32:46.044864,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-62
113,DC:A6:32:33:B0:DA,2020-07-11 20:32:47.141086,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-54
