SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
45,DC:A6:32:33:B0:DA,2020-07-12 20:23:08.283225,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-60
46,DC:A6:32:33:B0:DA,2020-07-12 20:23:09.019458,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-62
47,DC:A6:32:33:B0:DA,2020-07-12 20:23:10.187079,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-63
48,DC:A6:32:33:B0:DA,2020-07-12 20:23:11.315863,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-64
49,DC:A6:32:33:B0:DA,2020-07-12 20:23:12.318463,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-61
50,DC:A6:32:33:B0:DA,2020-07-12 20:23:14.323477,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-68
51,DC:A6:32:33:B0:DA,2020-07-12 20:23:15.155862,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-79
52,DC:A6:32:33:B0:DA,2020-07-12 20:23:16.158391,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-71
53,DC:A6:32:33:B0:DA,2020-07-12 20:23:17.572270,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-61
54,DC:A6:32:33:B0:DA,2020-07-12 20:23:18.181585,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-69
55,DC:A6:32:33:B0:DA,2020-07-12 20:23:19.346077,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-84
56,DC:A6:32:33:B0:DA,2020-07-12 20:23:20.218506,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-74
57,DC:A6:32:33:B0:DA,2020-07-12 20:23:21.146635,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-72
58,DC:A6:32:33:B0:DA,2020-07-12 20:23:22.161095,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-73
59,DC:A6:32:33:B0:DA,2020-07-12 20:23:23.019814,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-69
60,DC:A6:32:33:B0:DA,2020-07-12 20:23:24.056023,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-64
61,DC:A6:32:33:B0:DA,2020-07-12 20:23:25.009754,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-62
62,DC:A6:32:33:B0:DA,2020-07-12 20:23:26.031185,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-60
63,DC:A6:32:33:B0:DA,2020-07-12 20:23:27.019825,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-62
64,DC:A6:32:33:B0:DA,2020-07-12 20:23:28.209835,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-78
65,DC:A6:32:33:B0:DA,2020-07-12 20:23:29.039839,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-65
66,DC:A6:32:33:B0:DA,2020-07-12 20:23:30.016116,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-65
67,DC:A6:32:33:B0:DA,2020-07-12 20:23:31.025002,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-79
68,DC:A6:32:33:B0:DA,2020-07-12 20:23:32.068772,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-72
69,DC:A6:32:33:B0:DA,2020-07-12 20:23:33.013698,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-64
70,DC:A6:32:33:B0:DA,2020-07-12 20:23:34.014933,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-79
71,DC:A6:32:33:B0:DA,2020-07-12 20:23:35.141215,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-74
72,DC:A6:32:33:B0:DA,2020-07-12 20:23:36.100577,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-73
73,DC:A6:32:33:B0:DA,2020-07-12 20:23:37.085022,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-81
74,DC:A6:32:33:B0:DA,2020-07-12 20:23:38.003271,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-67
75,DC:A6:32:33:B0:DA,2020-07-12 20:23:39.136937,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-81
76,DC:A6:32:33:B0:DA,2020-07-12 20:23:40.117559,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-71
77,DC:A6:32:33:B0:DA,2020-07-12 20:23:41.010119,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-68
78,DC:A6:32:33:B0:DA,2020-07-12 20:23:42.177632,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-67
79,DC:A6:32:33:B0:DA,2020-07-12 20:23:43.162644,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-69
80,DC:A6:32:33:B0:DA,2020-07-12 20:23:44.048950,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-74
81,DC:A6:32:33:B0:DA,2020-07-12 20:23:45.035185,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-70
82,DC:A6:32:33:B0:DA,2020-07-12 20:23:46.185230,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-61
83,DC:A6:32:33:B0:DA,2020-07-12 20:23:47.007737,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-66
84,DC:A6:32:33:B0:DA,2020-07-12 20:23:48.015316,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-61
85,DC:A6:32:33:B0:DA,2020-07-12 20:23:49.010258,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-56
86,DC:A6:32:33:B0:DA,2020-07-12 20:23:50.025386,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-66
87,DC:A6:32:33:B0:DA,2020-07-12 20:23:51.020344,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-82
88,DC:A6:32:33:B0:DA,2020-07-12 20:23:52.367233,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-68
89,DC:A6:32:33:B0:DA,2020-07-12 20:23:53.109112,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-71
90,DC:A6:32:33:B0:DA,2020-07-12 20:23:54.065352,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-79
91,DC:A6:32:33:B0:DA,2020-07-12 20:23:55.076688,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-67
92,DC:A6:32:33:B0:DA,2020-07-12 20:23:56.072435,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-72
93,DC:A6:32:33:B0:DA,2020-07-12 20:23:57.269317,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-58
94,DC:A6:32:33:B0:DA,2020-07-12 20:23:58.006148,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-67
95,DC:A6:32:33:B0:DA,2020-07-12 20:23:59.091114,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-73
96,DC:A6:32:33:B0:DA,2020-07-12 20:24:00.099261,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-72
97,DC:A6:32:33:B0:DA,2020-07-12 20:24:01.014294,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-72
98,DC:A6:32:33:B0:DA,2020-07-12 20:24:02.121259,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-73
99,DC:A6:32:33:B0:DA,2020-07-12 20:24:03.108102,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-80
100,DC:A6:32:33:B0:DA,2020-07-12 20:24:04.020666,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-68
101,DC:A6:32:33:B0:DA,2020-07-12 20:24:05.076882,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-73
102,DC:A6:32:33:B0:DA,2020-07-12 20:24:06.038164,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-81
103,DC:A6:32:33:B0:DA,2020-07-12 20:24:07.004422,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-68
104,DC:A6:32:33:B0:DA,2020-07-12 20:24:08.075861,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-71
